Item	Category	Sources
Bluespirit Sword	Acquire	Bluespirit Weapon Coffer
Suzaku's Longsword	Instance	Hells' Kier (Extreme)
Lakeland Longsword	Instance	Holminster Switch
Edengrace Bastard Sword	Acquire	Edengrace Weapon Coffer
Edengrace Bastard Sword	Instance	Eden's Gate: Sepulture (Savage)
Titanbronze Kilij	Acquire	Titanbronze Weapon Coffer
Deepgold Anelace	Acquire	White Oak Weapon Coffer
Deepgold Sword	Acquire	Deepgold Weapon Coffer
Dwarven Mythril Pikenstock	Acquire	High Mythril Weapon Coffer
Ravel Keeper's Sword	Instance	The Qitana Ravel
Seiryu's Longsword	Instance	The Wreath of Snakes (Extreme)
Misos	Instance	The Minstrel's Ballad: Hades's Elegy
Shinryu's Longsword	Instance	The Minstrel's Ballad: Shinryu's Domain
Blade of the Crimson Lotus	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Onikiri Shin	Instance	Doma Castle
Zurvanite Blade	Instance	Containment Bay Z1T9 (Extreme)
Alexandrian Metal Blade	Instance	Alexander - The Soul of the Creator (Savage)
Ghost Barque Anelace	Instance	The Sirensong Sea
Byakko's Stone Sword	Instance	The Jade Stoa (Extreme)
Midan Metal Sword	Instance	Alexander - The Burden of the Son (Savage)
Genji Shichishito	Acquire	Genji Coffer
Genji Shichishito	Instance	Deltascape V4.0 (Savage)
The Eminent Dominion	Instance	Bardam's Mettle
Sophic Blade	Instance	Containment Bay P1T6 (Extreme)
Antiquated Galatyn	Acquire	Chivalrous Armor Coffer
Ruby Tide Blade	Instance	Shisui of the Violet Tides
Enhancing Sword	Instance	Castrum Abania
Susano's Longsword	Instance	The Pool of Tribute (Extreme)
Halonic Inquisitor's Sword	Instance	The Vault
Belah'dian Anelace	Instance	The Great Gubal Library
Expanse Sword	Instance	The Limitless Blue (Extreme)
Sword of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Dreadwyrm Blade	Instance	The Final Coil of Bahamut - Turn 4
Martial Sword	Instance	The Dusk Vigil
Dissector	Instance	Sohm Al
Baldur Sword	Instance	Neverreap	The Fractal Continuum
Tyrfing	Instance	The Aery
Blade of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Hive Shamshir	Instance	Thok ast Thok (Extreme)
Gordian Blade	Instance	Alexander - The Burden of the Father (Savage)
Horde Blade	Instance	The Minstrel's Ballad: Nidhogg's Rage
Sword of the Forgiven	Instance	Mt. Gulg
Ruby Broadsword	Instance	Cinder Drift (Extreme)
Omega Sword	Acquire	Omega Weapon Coffer
Omega Sword	Instance	Alphascape V4.0 (Savage)
Nabaath Sword	Instance	Malikah's Well
The King's Sword	Instance	The Dancing Plague (Extreme)
Fae Sword	Instance	Dohn Mheg
Homura Kai	Acquire	Dai-ryumyaku Weapon Coffer
Edenchoir Bastard Sword	Acquire	Edenchoir Weapon Coffer
Edenchoir Bastard Sword	Instance	Eden's Verse: Refulgence (Savage)
Tsukuyomi's Longsword	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Diamond Sword	Acquire	Diamond Weapon Coffer
Diamond Sword	Instance	Sigmascape V4.0 (Savage)
High Allagan Blade	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Thunderstrike	Instance	The Striking Tree (Extreme)
Allagan Blade	Instance	The Binding Coil of Bahamut - Turn 5
Garuda's Gaze	Instance	The Howling Eye (Hard)
Darklight Macuahuitl	Instance	The Wanderer's Palace	Amdapor Keep
Giantsgall Longsword	Acquire	Level 70 Weapon Coffer
Blunt Aeolian Scimitar	Instance	The Wanderer's Palace
Wave Shamshir	Instance	The Whorleater (Extreme)
Burtgang	Acquire	Level 110 Weapon Coffer
Morbid Mogblade	Instance	Thornmarch (Hard)
Break Blade	Acquire	Level 90 Weapon Coffer
True Ice Brand	Instance	Akh Afah Amphitheatre (Extreme)
Ifrit's Blade	Instance	The Bowl of Embers (Hard)
Dzemael Winglet	Instance	Dzemael Darkhold
Cobalt Winglet	Acquire	Level 49 Weapon Coffer
Templar's Falchion	Instance	The Aurum Vale
Flametongue	Instance	The Sunken Temple of Qarn
Walnut Macuahuitl	Acquire	Level 34 Weapon Coffer
Ancient Sword	Instance	The Stone Vigil
Cobalt Shamshir	Acquire	Level 45 Weapon Coffer
Crier's Broadsword	Instance	Cutter's Cry
Plumed Oak Macuahuitl	Acquire	Level 40 Weapon Coffer
Longstop Sword	Instance	Brayflox's Longstop
Steel Longsword	Acquire	Level 36 Weapon Coffer
Inquisitor's Tuck	Instance	Haukke Manor
Iron Shortsword	Acquire	Level 21 Weapon Coffer
Frostbite	Instance	The Thousand Maws of Toto-Rak
Edengrace Battleaxe	Acquire	Edengrace Weapon Coffer
Edengrace Battleaxe	Instance	Eden's Gate: Sepulture (Savage)
Doctore's Scimitar	Instance	Halatali
Carnage Sword	Acquire	Level 18 Weapon Coffer
Edenchoir Battleaxe	Acquire	Edenchoir Weapon Coffer
Edenchoir Battleaxe	Instance	Eden's Verse: Refulgence (Savage)
Steel Broadsword	Acquire	Level 24 Weapon Coffer
Nabaath Axe	Instance	Malikah's Well
Dwarven Mythril Hammer	Acquire	High Mythril Weapon Coffer
Labrys of the Forgiven	Instance	Mt. Gulg
Elm Macuahuitl	Acquire	Level 28 Weapon Coffer
Plundered Falchion	Instance	Sastasha	The Tam-Tara Deepcroft	Copperbell Mines
The King's Axe	Instance	The Dancing Plague (Extreme)
Ruby Battleaxe	Instance	Cinder Drift (Extreme)
Thumosis	Instance	The Minstrel's Ballad: Hades's Elegy
Bluespirit Axe	Acquire	Bluespirit Weapon Coffer
Titanbronze Battleaxe	Acquire	Titanbronze Weapon Coffer
Deepgold Axe	Acquire	Deepgold Weapon Coffer
Fae Axe	Instance	Dohn Mheg
Deepgold Battleaxe	Acquire	White Oak Weapon Coffer
Byakko's Greataxe	Instance	The Jade Stoa (Extreme)
Susano's War Axe	Instance	The Pool of Tribute (Extreme)
Suzaku's Greataxe	Instance	Hells' Kier (Extreme)
Mikazuki Kai	Acquire	Dai-ryumyaku Weapon Coffer
Tsukuyomi's Greataxe	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
